city_name,country,x,y
Old Vista,Europe,3.6788127,1.3249226
Beachport,Europe,3.5590832,2.7150426
Valleyborough,Europe,2.329169,3.0652733
City,Europe,3.7496185,3.6257782
Falls,Europe,1.3583214,2.8162975
North Falls,Europe,3.6861184,1.3638682
Hillhaven,Europe,3.669439,3.8945262
Gardenton,Europe,3.2792828,2.7700777
Springsville,Europe,2.0848198,1.4091408
North Ridge,Europe,5.1461735,2.792134
Ridgeshire,Europe,5.365776,3.922656
Forestville,Europe,4.46423,2.782291
Garden,Europe,5.0898843,3.2036386
Bridge,Europe,7.4432936,4.5625772
Port Bridge,Europe,2.967128,2.784009
Stone,Europe,2.0192673,2.749639
Riverburg,Europe,6.288793,2.961033
Gardenburg,Europe,5.4248924,4.2871876
Pointborough,Europe,5.463764,3.764848
Parkland,Europe,5.157667,4.4861856
Cityport,Europe,5.7719927,4.35634
Cityhaven,Europe,4.039535,3.6512823
San Wood,Europe,2.287848,1.7559018
Harborshire,Europe,7.449761,5.9702153
East Valley,Europe,1.5351466,2.922055
Valleyburg,Europe,4.990814,4.1650352
Point,Europe,1.5367527,2.903112
Woodshire,Europe,6.5323534,3.3463647
New Wood,Europe,3.6356099,3.8266656
Port Beach,Europe,3.235567,1.3115712
Fallshaven,Europe,5.9250493,3.872705
Vistaland,Europe,3.8442037,3.0877028
San Vista,Europe,2.7305822,1.7710012
Bayport,Europe,5.727899,4.2289634
Field,Europe,2.5009422,3.7148674
North Harbor,Europe,4.773083,2.5262256
Forestshire,Europe,6.6113358,3.1352973
Springs,Europe,5.023316,4.2958603
Mount City,Europe,6.2200384,3.9572575
River,Europe,2.6405177,1.8285297
Port Springs,Europe,4.746471,3.6243248
Hill,Europe,4.181866,3.3115075
New Park,Europe,2.6623027,2.229656
Lake Town,Europe,2.4643803,3.7409348
Wood,Europe,4.4234247,3.6448088
Townland,Europe,5.9525847,3.6008322
Town,Europe,1.722875,2.9465842
Woodland,Europe,3.2813418,3.0980327
Pointland,Europe,2.372964,1.5307643
San Harbor,Europe,3.5418513,1.2098802
Saint Falls,Europe,5.939877,4.373177
Fieldton,Europe,3.0238397,2.2997243
New Hill,Europe,3.1002476,3.9172146
Port Stone,Europe,5.2173214,3.7062476
West Stone,Europe,4.8040004,2.5288904
Woodport,Europe,2.5492733,2.5533185
Harborport,Europe,6.9818287,5.5164566
South Forest,Europe,4.6823974,3.510666
Mount Valley,Europe,5.3738823,3.742897
Bridgedale,Europe,2.1355243,2.9855156
Pointshire,Asia,5.465804,3.2374017
Forestdale,Asia,9.643876,2.0972004
Woodburg,Asia,9.537284,3.3891332
North City,Asia,9.668952,2.0880923
Riverford,Asia,9.760094,2.6292179
Gardenborough,Asia,7.467287,4.363713
San Point,Asia,7.6620502,3.999902
Saint Forest,Asia,9.053213,3.2624807
Bay,Asia,9.206569,3.4141543
Mount Ridge,Asia,8.249874,2.5707412
Old Wood,Asia,8.998525,5.0587206
Old Springs,Asia,6.7097034,5.23867
Ridgeford,Asia,6.9385386,3.9423628
Stoneland,Asia,8.90679,2.5904202
Forest,Asia,8.037299,4.408766
Springsdale,Asia,5.1843424,3.5957656
Lake Bay,Asia,9.204894,2.7745295
Pointdale,Asia,8.568803,2.2089372
Park,Asia,10.944249,7.346591
South Garden,Asia,7.2496667,4.4212785
Parkville,Asia,9.700894,2.7726638
Fallsborough,Asia,8.472181,3.6844752
Pointhaven,Asia,8.944139,3.1033974
Port Field,Asia,9.601813,2.8620775
Lake Hill,Asia,9.748105,2.1549306
Mount Hill,Asia,9.528374,2.7615228
Beach,Asia,9.587194,2.29406
Mount Field,Asia,8.968996,2.1898901
Harbor,Asia,9.370957,2.2197897
Old Garden,Asia,7.985281,3.8964305
Vista,Asia,9.147575,3.1344023
Townton,Asia,9.174173,2.3337047
Mount Beach,Asia,9.249093,2.7162077
San Bay,Asia,9.658213,2.4450881
Port Harbor,Asia,7.6600504,3.9690032
Stoneton,Asia,9.578513,1.991695
Parkshire,Asia,8.612504,2.3212395
Pointford,Asia,9.811889,2.9556408
Parkhaven,Asia,9.154299,1.9474775
